"lower","actualEffect","upper","posterior_prob","article_names","significance","positive"
202.330220864198,350,271.329828246863,0.00117924528301887,"weddellseal",1,1
-106.781773332189,418,328.105707062886,0.147405660377358,"kingpenguin",0,1
1080.69744566074,2076.5,1597.95519944953,0.0028735632183908,"elephantseal",1,1
-564.21834736339,1221,239.044442296233,0.20507614213198,"humpbackwhale",0,1
-593.616477669842,1221,249.546341989176,0.246700507614213,"krill",0,1
-1968.7323091485,2292,2089.19697556072,0.435323383084577,"albatross",0,1
-365.120530154132,343,437.440984700682,0.454822335025381,"gentoopenguin",0,1
-2809.57856647869,4206,3847.80003582321,0.388349514563107,"killerwhale",0,1
1092.30278707299,1979,1653.80885417626,0.00124223602484472,"leopardseal",1,1
-333.799130600058,182.5,178.688135671302,0.298349056603774,"nemertea",0,1
-24.8270807605944,561,445.1127634034,0.0380047505938242,"nudibranch",1,1
-121.037140863637,860.5,247.71877134169,0.309701492537313,"seaanemone",0,1
-1142.75276867167,2099.5,438.095669412797,0.209,"jellyfish",0,1
-13240.5922233682,3551,13438.7162237187,0.482965931863727,"bluewhale",0,1
305.003880507376,592.5,480.036741640402,0.00117924528301887,"southernrightwhale",1,1
-3.17512431138301,616.5,362.579275869284,0.0359712230215827,"finwhale",1,1
-142.89498257439,1951.5,1131.03078964085,0.0730270906949352,"walrus",0,1
-1459.34337982698,3570,2225.2732651944,0.313193588162762,"polarbear",0,1
41.2813718859767,242.5,152.431546900725,0.00203045685279188,"kamchatkabrownbear",1,1
3347.90102962525,3879,3876.56633315963,0.00100502512562814,"goldensnubnosedmonkey",1,1
-52.4393108268473,22.5,64.8171068191243,0.401,"flycatcher",0,1
-256.654229926411,664,238.023548307962,0.441885964912281,"viperidae",0,1
-54.9219584714131,510.5,218.562586678762,0.126413155190134,"shrike",0,1
100.410652718046,120,113.713791497504,0.00117924528301887,"saradagenus",1,1
309.043478503001,3213,1980.14143209548,0.00715015321756895,"orangutan",1,1
732.597624723531,1646,1877.57437648607,0.00138504155124654,"sumatranrhinoceros",1,1
-466.602585764053,2101.5,1081.15776664528,0.222335025380711,"whaleshark",0,1
-657.505199770668,1908,283.343203806873,0.218160377358491,"spermwhale",0,1
860.772743194593,1964,1190.93678930797,0.00150375939849624,"pumagenus",1,1
-526.885133209517,4792,3724.57671998967,0.0578512396694215,"cougar",0,1
63.412908234895,444.5,218.30155499008,0.015625,"puma",1,1
1261.982871515,2178.5,2103.31668312536,0.00115340253748558,"guanaco",1,1
-109.45037296227,986,309.067029772065,0.141975308641975,"sealion",0,1
5.82971198911424,184.5,103.562805491614,0.0153482880755608,"humboldtpenguin",1,1
293.416137172738,1173.5,1006.44208995625,0.00117924528301887,"spectacledbear",1,1
214.470430185625,382.5,347.051764133487,0.00124378109452736,"cottontoptamarin",1,1
-20.3716791886265,85.5,88.8682214006597,0.119753086419753,"manakin",0,1
216.275592880836,1157,613.980155568197,0.00102145045965271,"poisondartfrog",1,1
6.04007859183961,593,280.926778753098,0.0212014134275618,"scarletmacaw",1,1
-390.208659633208,1679,447.933703980063,0.467256637168142,"parrot",0,1
225.367286041063,243.5,238.730942386845,0.00100603621730382,"brycon",1,1
-38.0576979111092,84.5,22.9478237579118,0.30188679245283,"tuftedcapuchin",0,1
253.126221343686,1661.5,875.98658523769,0.00161290322580645,"anaconda",1,1
-10.1964287695441,73.5,21.3603006423409,0.208333333333333,"caracaragenus",0,1
-125.454310467833,285.5,128.988019570843,0.457547169811321,"swift",0,1
-13322.4438219816,3798,12737.8706136133,0.438075742067554,"cassowary",0,1
-578.461419489216,566.5,599.57921854393,0.494437577255871,"pteropus",0,1
-274.259640105654,2351,350.968221250946,0.368235294117647,"crocodile",0,1
-29.7393185564964,2807.5,664.565045714091,0.0427807486631016,"kangaroo",1,1
-573.024637239925,1923.5,1022.76245890982,0.274594594594595,"wombat",0,1
17.1220428750605,273.5,91.0167473393438,0.00383141762452107,"easterngreykangaroo",1,1
964.223809607656,6981,6951.29379396659,0.00323974082073434,"dingo",1,1
-8088.14365761968,3612,7955.63053203232,0.474674384949349,"koala",0,1
163.935703115582,2173.5,1167.7534936065,0.00825471698113208,"echidna",1,1
348.052976283721,814,826.851545172717,0.00100603621730382,"perentie",1,1
-183.523781807615,689,175.753601863033,0.442216981132075,"pogona",0,1
-50.4205331633065,418.5,149.539197950995,0.16627358490566,"bluetonguedskink",0,1
402.451950869878,804,623.994448725124,0.00123152709359606,"thornydevil",1,1
415.665938452287,1585.5,635.085799751285,0.00909090909090909,"budgerigar",1,1
-834.388934781745,2164,396.392659432793,0.233624454148472,"shark",0,1
3085.52988819712,6059,4574.35748145421,0.00123456790123457,"tasmaniandevil",1,1
3075.40789566268,7010.5,6363.16563703273,0.0011037527593819,"thylacine",1,1
-180.797768474471,957.5,322.22732076165,0.277153558052434,"easternbrownsnake",0,1
-869.977134808912,3346.5,410.378906195105,0.232323232323232,"brownbear",0,1
1466.71850026012,2678.5,2122.39184863274,0.00176991150442478,"muskox",1,1
-559.851511047061,3839,602.44167284066,0.490421455938697,"wolf",0,1
-155.153717101535,966,92.9313324371581,0.31095406360424,"reddeer",0,1
425.160630004757,761,600.152325967697,0.00123456790123457,"barbarymacaque",1,1
1193.98359976817,1347,1345.60313591264,0.00100401606425703,"europeanhamster",1,1
702.926366277613,2114,2287.11344189411,0.00288600288600289,"mayfly",1,1
-436.82457959095,316.5,697.178435824716,0.303771661569827,"greatwhitepelican",0,1
-240.458586741546,880.5,383.711927514772,0.346,"cormorant",0,1
